mean_diff,std_diff,max_diff,min_diff,peak_to_peak,rms_diff,skewness,kurtosis,mean_cm,std_cm,cm_deviation,std_voutp,std_voutn,mean_voutp,mean_voutn,output_asymmetry,mean_asymmetry,fundamental,harmonic2,harmonic3,thd,spectral_energy,high_freq_ratio,fault_id,fault_name
-0.03479199458471759,0.8126563389533408,0.855648,-0.9307472999999999,1.7863953,0.8134007672286954,-0.010973870684472902,-1.9458703489820908,0.9564026619269103,0.36400185978288885,0.056402661926910236,0.7700414674569286,0.04778701776683023,0.9389382538870432,0.9737302484717608,0.7222544496900983,0.0347919945847176,1631.3891373614588,0.3302766319588776,0.1651383159794388,0.01,3002658.9329686994,0.02,0,healthy
-0.03468488212624585,0.8126985687136372,0.8556997000000001,-0.9307506,1.7864503,0.8134383840447328,-0.01128265833196528,-1.9458866443467062,0.9563746633554818,0.36401750343042794,0.0563746633554818,0.770073616142314,0.04779682185974429,0.9389878992026579,0.9736727813289038,0.7222767942825696,0.034684882126245875,1631.495133321003,0.3292431233776401,0.16462156168882006,0.01,3002902.4598840554,0.02,0,healthy
-0.0346207363031915,0.8127210856449361,0.8555636,-0.930697,1.7862605999999999,0.8134581479302169,-0.011628380936021147,-1.946114793691159,0.9564742957446809,0.3640418264905113,0.05647429574468088,0.7701105736810381,0.04778282385923845,0.9391118316821807,0.9737325679853724,0.7223277498217996,0.034620736303191735,1630.317626112354,0.3284281523285457,0.16421407616427286,0.01,2999038.5630132947,0.02,0,healthy
-0.034485978357712804,0.8124212481906015,0.8555117,-0.9305371999999998,1.7860489,0.8131528559962534,-0.011891347961432496,-1.9455325482179153,0.9565368015624999,0.3639256890308351,0.05653680156249985,0.7698439062587139,0.047751056724754784,0.939241697074468,0.9737276754321809,0.7220928495339591,0.03448597835771283,1630.0064391415212,0.3277495322477262,0.1638747661238631,0.01,2996749.8375360067,0.02,0,healthy
-0.03481391017287236,0.8132836079837529,0.8557338000000001,-0.9309160000000001,1.7866498000000002,0.8140283996007727,-0.011109817243328978,-1.947226635547325,0.9563550961103724,0.3642718060117018,0.05635509611037237,0.7706217927618089,0.047835671059842995,0.938896087699468,0.9737099978723406,0.7227861217019659,0.03481391017287261,1630.8891175307806,0.32980023204189063,0.16490011602094531,0.01,3003297.8933227803,0.02,0,healthy
-0.03474881760797345,0.8126068838665708,0.8555590999999999,-0.9308029,1.786362,0.813349511607704,-0.011362261909285113,-1.9457165784585022,0.9564445982724253,0.3639893943000786,0.05644459827242532,0.7700001569664748,0.047776393909544156,0.9390257553156146,0.973774572923588,0.7222237630569307,0.03474881760797344,1631.3920789227354,0.32908573762023235,0.16454286881011618,0.01,3002267.630692716,0.02,0,healthy
-0.03445252353723407,0.812260029955915,0.855437,-0.9304962,1.7859332,0.8129903644214165,-0.012039857177054516,-1.9452192579161967,0.9565773212433512,0.3638605576141995,0.05657732124335113,0.7696979850186642,0.047734842493052175,0.9392989245678193,0.9737514481050531,0.721963142525612,0.034452523537233826,1629.8392568057557,0.32736836298734545,0.16368418149367273,0.01,2995543.998000092,0.02,0,healthy
-0.03485476821808515,0.8133376170279448,0.8557227,-0.9309618000000001,1.7866845,0.8140841075344932,-0.011063964063320511,-1.9473336577983893,0.956350017619681,0.3642931106178998,0.05635001761968095,0.7706702695973121,0.04784051707322605,0.9388705837433511,0.9737253519614362,0.7228297525240861,0.034854768218085086,1630.9437413420487,0.3299211964845226,0.1649605982422613,0.01,3003721.0952681345,0.02,0,healthy
-0.03481081377822049,0.8125382344354757,0.8556545000000001,-0.9308612,1.7865157000000003,0.8132835761131673,-0.011092688524065177,-1.9453956973647752,0.9563637665670651,0.3639459684546418,0.0563637665670651,0.7699213061190681,0.04778536944835328,0.9389221493359893,0.9737329631142098,0.7221359366707147,0.034810813778220484,1632.5803674226352,0.3268413210259525,0.16342066051297624,0.01,3005791.7432233337,0.02,0,healthy
-0.03490744444813829,0.8134991681964051,0.8557686,-0.9310213999999999,1.7867899999999999,0.8142477671655864,-0.010917036473992787,-1.9476577896243035,0.9563239736037233,0.3643619655847082,0.05632397360372332,0.7708199212168846,0.047853341603422965,0.9388182117353723,0.9737256561835106,0.7229665796134617,0.034907444448138314,1631.1035255825748,0.3303302242693119,0.16516511213465596,0.01,3004943.3393594516,0.02,0,healthy
